"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Wilson, Jacob","805779","147","7.2",31.3,"108.5","86.9","96","86.7","88.3","414","126","377","39",26.5,"3",2,1.8
"Bichette, Bo","666182","143","10.5",41.3,"112.3","90.8","101.5","95.4","87.8","389","166","382","67",46.9,"13",9.1,7
"Kwan, Steven","680757","143","11.5",41.3,"104.1","86.7","95.4","87.6","85.6","406","160","377","32",22.4,"3",2.1,1.7
"Duran, Jarren","680776","141","12.1",34.8,"112","92.2","102.7","94.3","92","394","160","383","64",45.4,"10",7.1,5.2
"Díaz, Yandy","650490","138","5.1",26.1,"113.4","93.5","105.5","97.4","92.5","415","142","375","75",54.3,"12",8.7,6.9
"Tucker, Kyle","663656","138","18.6",37.7,"108.1","90.8","100.6","94.5","84.9","427","201","394","62",44.9,"20",14.5,10.5
"Chourio, Jackson","694192","137","9.1",29.9,"110","88.1","101.1","96.8","80.9","448","159","403","60",43.8,"12",8.8,6.7
"Lindor, Francisco","596019","137","12",29.2,"109.7","89.6","100.7","94.6","85.7","415","159","394","59",43.1,"13",9.5,7
"Donovan, Brendan","680977","136","9.9",41.2,"109.2","89","100.2","93.3","85.5","404","167","386","59",43.4,"10",7.4,6
"Arraez, Luis","650333","136","11.7",39.7,"107.8","85.4","93.3","88.1","82","376","158","355","25",18.4,"0",0,0
"Lee, Jung Hoo","808982","135","12.2",37,"105.4","89","97.8","91.6","87.8","406","165","385","43",31.9,"6",4.4,3.6
"Albies, Ozzie","645277","134","21.4",33.6,"106.8","86.8","96","90.1","85","413","173","374","36",26.9,"6",4.5,3.4
"Hoerner, Nico","663538","133","11.7",32.3,"104.7","86.7","95.9","88.3","86.9","369","152",,"39",29.3,"1",0.8,0.6
"Betts, Mookie","605141","133","15.8",36.8,"107.2","88.8","97.5","91","86.5","398","183","385","45",33.8,"4",3,2.4
"Witt Jr., Bobby","677951","131","13.5",35.1,"113","91.5","102.8","95.4","86.4","408","188","383","61",46.6,"14",10.7,7.6
"Edwards, Xavier","669364","131","10.6",29.8,"109","85.6","95.6","87.6","85.8","362","146",,"33",25.2,"0",0,0
"Perdomo, Geraldo","672695","130","15",35.4,"107.5","88.5","97.2","91.5","87","399","167","385","40",30.8,"6",4.6,3.4
"Friedl, TJ","670770","130","13.4",30.8,"106.9","87.6","97.7","89.9","88.1","407","149","395","42",32.3,"3",2.3,1.7
"Naylor, Josh","647304","130","9",26.9,"110.8","90","101.8","92.1","89.6","417","150","392","58",44.6,"9",6.9,5.2
"Bregman, Alex","608324","130","18.7",32.3,"109.6","92.4","100.5","94.9","90.3","411","186","397","63",48.5,"14",10.8,7.6
"Harris II, Michael","671739","130","6.5",33.8,"112.4","89.6","102","93.2","87","446","152","412","50",38.5,"9",6.9,5.4
"Gurriel Jr., Lourdes","666971","129","18",38,"109.1","87.5","99.6","93.1","82.4","416","190","403","48",37.2,"12",9.3,7.7
"Pasquantino, Vinnie","686469","129","18.3",33.3,"111.5","91.1","100.8","93.7","90","422","190","396","58",45,"12",9.3,6.9
"Peña, Jeremy","665161","128","7.9",32,"108.6","88.7","101.3","95.4","85.3","407","144","383","56",43.8,"10",7.8,6
"Nootbaar, Lars","663457","128","17.7",34.4,"112.7","91.8","102.7","95.8","88.6","418","182","389","65",50.8,"15",11.7,8
"Happ, Ian","664023","127","17.8",38.6,"112","89.4","100.7","94.4","85.2","404","173","377","52",40.9,"11",8.7,5.9
